说明：题型编号，数据结构用J表示，数据库原理用K表示，网络用W表示，软件工程用R表示，操作系统用Z表示，应用基础用C表示，多媒体技术用D表示，硬件部分用Y表示，移动互联应用用H表示，S表示数据表示和计算，L表示离散数学，Q表示软件知识产权；C语言用1表示，C++语言用2表示，Java语言用3表示，JavaScript用4表示，C#用5表示；难度用0和1表示，0表示简单，1表示困难。,,,,,,,,
题号,题型,题目,A,B,C,D,答案,难度
1628,R,结构化维护与非结构化维护的主要区别在于( ),软件是否结构化,软件配置是否完整,程序的完整性,文档的完整性,D,0
1629,R,软件维护困难的主要原因是( ),费用低,人员少,开发方法的缺陷,得不到用户支持,C,0
1630,R,可维护性的特性中，相互矛盾的是( ),可理解性与可测试性,效率与可修改性,可修改性和可理解性,可理解性与可读性,B,0
1631,R,快速原型是利用原型辅助软件开发的一种新思想，它是在研究( )的方法和技术中产生的,需求阶段,设计阶段,测试阶段,软件开发的各个阶段,A,0
1632,R,从目前情况来看，增量模型存在的主要问题是( ),用户很难适应这种系统开发方法,该方法的成功率很低,缺乏丰富而强有力的软件工具和开发环境,缺乏对开发过程中的问题和错误具有应付变化的机制,C,0
1633,R,( )是为了确保每个开发过程的质量，防止把软件差错传递到下一个过程而进行的工作,质量检测,软件容错,软件维护,系统容错,A,0
1634,R,表示对象相互行为的模型是( )模型,动态模型,功能模型,对象模型,静态模型,A,0
1635,R,CASE工具的表示集成是指CASE工具提供相同的( ),编程环境,用户界面,过程模型,硬件/操作系统,B,0
1636,R,在软件开发中，（　　　）是指对将要开发的系统的开发成本进行估算，然后与可能取得的效益进行比较和权衡,成本...效益分析,可行性分析,结构化分析,软件需求分析,A,0
1637,R,软件开发过程来自用户方面的主要干扰是（　　　）,功能变化,经费减少,设备损坏,人员变化,A,0
1638,R,软件复杂性度量的参数包括（　　）,结构,问题背景,可重用性,容错性,A,1
1639,R,为了提高软件的可维护性或可靠性而对软件进行的修改称为（　　　）,纠错性维护,适应性维护,完善性维护,预防性维护,D,1
1640,R,面向维护的技术涉及软件开发的（　　　）阶段,设计,编码,测试,所有,D,1
1641,R,用白盒技术设计测试用例的方法包括（　　　）,边界值分析,条件组合覆盖,因果图,错误推测,B,1
1642,R,针对软件需求分析所进行的软件测试是指（　　　）,集成测试,确认测试,黑盒子测试,白盒子测试,B,1
1643,R,源程序文档化要求在每个模块之前加序言性注释。该注释内容不应有（　　　）,模块的功能,语句的功能,模块的接口,开发历史,D,1
1644,R,结构化程序设计采用的三种基本控制结构是（　　　）,顺序、分支、选择,选择、循环、重复,顺序、选择、循环,输入、变换、输出,C,1
1645,R,在软件设计中详细描述处理过程常用的三种工具是（　　　）,SA ， SD ， SP,程序流程图， IPO ， PAD,SA ， SC ， SD,图形，表格，语言,B,1
1646,R,通信内聚、逻辑内聚、顺序内聚和时间内聚的内聚性从高到低顺序是（　　　）,通信、逻辑、顺序、时间,通信、时间、顺序、逻辑,顺序、通信、时间、逻辑,顺序、通信、逻辑、时间,C,1
1647,R,在下列四种模块的耦合性中，信息隐蔽性能最好的是（　　　）,控制耦合,内容耦合,标记耦合,数据耦合,D,1
1648,R,结构化方法是一种（　　　）的软件开发方法,面向用户,面向数据结构,面向对象,面向数据流,D,1
1649,R,需求分析是回答系统必须（　　　）的问题,做什么,怎么做,何时做,为谁做,A,1
1650,R,在软件生产的（　　　），使用的工具主要是机器语言和汇编语言,程序系统时代,软件工程时代,面向对象时代,人工智能时代,A,1
1651,R,软件工程管理的具体内容不包括对 ( )管理,开发人员,组织机构,控制,设备,D,1
1652,R,在 McCall 软件质量度量模型中，( ) 属于面向软件产品操作,正确性,可维护性,适应性,互操作性,A,1
1653,R,在快速原型模型的开发过程中，用原型过程来代替全部开发阶段所用模型是( )模型,探索型原型,演化型原型,实验型原型,增量型原型,B,1
1654,R,维护中因删除一个标识符而引起的错识是 ( )副作用,文档,数据,编码,设计,C,1
1655,R,用白盒法技术设计测试用例的方法包括（　　　）,错误推测,因果图,基本路径测试,边界值分析,C,1
1656,R,软件测试中根据测试用例设计的方法的不同可分为黑盒测试和白盒测试两种，它们( ),前者属于静态测试，后者属于动态测试,前者属于动态测试，后者属于静态测试,都属于静态测试,都属于动态测试,D,1
1657,R,程序的三种基本控制结构的共同特点是（　　　）,只能用来描述简单程序,不能嵌套使用,单入口，单出口,仅用于自动控制系统,C,1
1658,R,当一个模块直接使用另一个模块的内部数据，这种模块之间的耦合为（　　　）,数据耦合,公共耦合,标记耦合,内容耦合,D,1
1659,R,软件设计的方法有多种， ( )方法不属于面向数据流的设计方法,基于 Jackson 图的设计,基于 IDEF 0 图的设计,交换分析设计,事务分析设计,A,1
1660,R,为高质量地开发软件项目，在软件结构设计时，必须遵循( )原则,信息隐蔽,质量控制,程序优化,数据共享,A,1
1661,R,数据流图（ DFD ）是 ( )方法中用于表示系统的逻辑模型的一种图形工具,SA,SD,SP,SC,A,1
1662,R,螺旋模型是一种将瀑布模型和( ) 结合起来的软件开发模型,增量模型,专家系统,喷泉模型,变换模型,A,1
1663,R,需求规格说明书的作用不包括（　　）,软件验收的依据,用户与开发人员对软件要做什么的共同理解,软件可行性研究的依据,软件设计的依据,C,1
1664,R,数据字典是用来定义 ( )中的各个成份的具体含义的,流程图,功能结构图,系统结构图,数据流图,D,1
1665,R,设年利率为 i ，现存入 p 元，不计复利， n 年后可得钱数为（　　）,p ﹡ (1+i ﹡ n),p ﹡ (i+1)/n,p ﹡ (1+i) ﹡ n,p ﹡ (i+n),A,1
1666,R,在软件生产的程序系统时代由于软件规模扩大和软件复杂性提高等原因导致了( ),软件危机,软件工程,程序设计革命,结构化程序设计,A,1
1667,R,Putnam 成本估算模型是一个（ ）模型,静态单变量,动态单变量,静态多变量,动态多变量,D,1
1668,R,在 McCall 软件质量度量模型中，（ ）属于面向软件产品修改,可靠性,可重用性,适应性,可移植性,D,1
1669,R,ISO 的软件质量评价模型由 3 层组成，其中用于评价设计质量的准则是（ ）,SQIC,SQMC,SQRC,SQDC,D,1
1670,R,软件复杂性度量的参数包括（ ）,效率,规模,完整性,容错性,B,1
1671,R,软件调试技术包括（ ）,边界值分析,演绎法,循环覆盖,集成测试,B,1
1672,R,瀑布模型的存在问题是（ ）,用户容易参与开发,缺乏灵活性,用户与开发者易沟通,适用可变需求,B,1
1673,R,软件测试方法中的静态测试方法之一为（ ）,计算机辅助静态分析,黑盒法,路径覆盖,边界值分析,A,1
1674,R,软件生命周期中所花费用最多的阶段是（ ）,详细设计,软件编码,软件测试,软件维护,D,1
1675,R,在有多重继承的类层次结构中，类层次结构是（）层次结构,树状,网状,环型,星型,A,1
1676,R,下面概念中不属于面向对象方法的是（）,对象,继承,类,过程调用,D,1
1677,R,因果图方法是根据（）之间的因果关系来设计测试用例的,输入与输出,设计与实现,条件与结果,主程序与子程序,A,1
1678,R,软件测试的目的是（）,证明软件的正确性,找出软件系统中存在的所有错误,证明软件系统中存在错误,尽量多的发现系统中存在的错误,D,1
1679,R,为了提高测试效率，应该（）,随机地选取测试数据,选取一切可能的数据作为测试数据,在完成编码以后制定软件的测试计划,选择发现错误可能性大的数据作为测试数据,D,1
1680,R,使用白盒测试方法时确定测试数据应根据（）和指定的覆盖标准,程序的内部逻辑,程序的复杂程度,使用说明书,程序的功能,A,1
1681,R,软件测试中，逻辑覆盖标准主要用于（）,黑盒测试方法,白盒测试方法,灰盒测试方法,软件验收方法,B,0
1682,R,确认测试计划是在（）阶段制定的,可行性研究和计划,需求分析,概要设计,详细设计,B,1
1683,R,下面的逻辑测试覆盖中，测试覆盖最弱的是(),条件覆盖,条件组合覆盖,语句覆盖,条件及判定覆盖,C,1
1684,R, 项目建议书是哪个阶段开发的文档（）,项目执行阶段,项目结尾阶段,项目初始阶段,项目计划阶段,C,0
1685,R,项目章程 （）,明确了项目经理,确定了项目的质量标准,明确了团队的纪律,定义了项目需求,A,1
1686,R, 对于风险比较大的项目，最好选择（ ）生存期模型，,瀑布模型,原型,螺旋模型,V模型,C,0
1687,R,开发项目建议书的目的是为了（）,验收,竞标或者签署合同,编写计划,跟踪控制项目,B,1
1688,R, 需求分析是回答系统必须（）的问题,做什么,怎么做,何时做,为谁做,A,0
1689,R, WBS（工作分解结构）非常重要，因为下列原因，除了（）,帮助组织工作,防止遗漏工作,为项目估算提供依据,确定团队成员责任,D,0
1690,R,项目范围（ ）,只在项目开始时重要,在授权项目的合同或者其他文件得以批准后就不再重要了,从项目概念阶段到收尾阶段都应该加以管理和控制,是在项目执行阶段通过变更控制步骤进行处理的问题,C,1
1691,R,为了有效地管理项目，应该将工作分解为更小的部分，以下各项中，哪一项不能说明任务应该分解到什么程度？（）,可以在80小时内完成,不能再进一步进行逻辑细分了,可由一个人完成,可以进行实际估算,B,1
1692,R,范围变更是指（）,修改技术规格,对范围陈述进行修订,对批准后的WBS进行修改,以上都不是,A,1
1693,R,下面哪个不是需求管理的过程（ ）,需求设计,需求获取,需求分析,需求变更,A,0
1694,R,下面那个不是创建WBS的方法（）,自顶向下,自底向上,控制方法,模版指导,C,0
1695,R,任务分解可以(　　)，它是范围变更的一项重要输入,提供项目成本估算结果,提供项目范围基线,规定项目采用的过程,提供项目的关键路径,B,0
1696,R, 范围基线由（）组成,项目章程、批准的详细的项目范围说明书和WBS,批准的详细项目范围说明书、WBS和WBS字典,项目章程、项目工作说明书和WBS,WBS,B,1
1697,R,快速跟进是指（ ）,采用并行执行任务，加速项目进展,用一个任务取代另外的任务,如有可能，减少任务数量,减轻项目风险,A,1
1698,R,赶工一个任务时，你应该关注（）,尽可能多的任务,非关键任务,加速执行关键路径上的任务,通过成本最低化加速执行任务,D,1
1699,R,"“软件编码完成之后，我才可以对它进行软件测试”,这句话说明了哪种依赖关系？（ ）",强制性依赖关系,软逻辑关系,外部依赖关系,里程碑,A,1
1700,R,如果用户提供的环境设备需要５月１０日到位，所以环境测试安排在５月１０日以后，这种活动安排的依赖依据是：（　）,强制性依赖关系,软逻辑关系,外部依赖关系,里程碑,C,1
1701,R,"对一个任务进行进度估算时,A是乐观者,估计是6天完成,B是悲观者,估计是24天完成,C是有经验者认为最有可能是12天完成，那么这个任务的历时估算是介于10天到16天的概率是（ ）",0.5,0.683,0.7,0.997,B,1
1702,R,下面哪项可能延长项目的进度？（ ）, Lag, Lead, 赶工, 快速跟进,A,0
1703,R,关于浮动，下面除了哪个都是不正确的？（ ）, 每个任务都有浮动, 只有复杂的项目有浮动 , 浮动是在不增加项目成本的条件下，一个活动可以延迟的时间量, 浮动是在不影响项目完成时间的前提下，一个活动可以延迟的时间量,D,1
1704,R,关于网络图，下面哪个是不正确的？（）, 网络图可用于安排计划, 网络图展示任务之间的逻辑关系, 网络图可用于跟踪项目, 网络图可用于详细的时间管理,C,1
1705,R,资源平衡最好用于（）活动, 时间很紧的, 按时的, 非关键路径, 关键路径,D,0
1706,R,下面哪项可以决定进度的灵活性(), PERT, Total float, ADM, 赶工,B,0
1707,R,（）是用系统的功能数量来测量其规模，与实现产品所使用的语言和技术没有关系的。, 功能点, 对象点, 代码行, 用例点,A,1
1708,R,如果你是某项目的项目经理，你已经估算出每个单元的成本是￥129。这个项目一共有1200单元，你采用什么估算方法？( ), 自下而上估算法, 类比估算法, 专家估算法, 参数估算法,A,1
1709,R, 在项目初期，进行竞标合同的时候，一般采用的成本估算方法是（ ）, 参数估算法, 类比估算法, 专家估算法, 功能点估算,B,1
1710,R,在成本管理过程中，项目经理确定的每个时间段，各个工作单元的成本是（ ）, 估算, 预算, 直接成本, 间接成本,A,1
1711,R, 项目质量管理的最终责任由谁来承担（）, 项目开发人员, 采购经理, 质量经理, 项目经理,D,0
1712,R, “质量成本”是一个项目管理概念，它说明了下列哪项成本（）, 额外需求的成本, 需求变更的成本, 确保符合需求的成本, 固定成本,A,1
1713,R, 增加有益的活动过程减少没有价值的活动过程是哪类质量活动（）, 质量保证, 质量规划, 质量控制, 质量改进,C,1
1714,S,十进制数11/128可用二进制数码序列表示为：（   ）,1011/1000000  ,1011/100000000  ,0.001011,0.0001011,D ,1
1715,S,十进制数2003等值于二进制数（     ）,100000111,10000011,110000111,11111010011,D ,1
1716,S,十进制数2004等值于八进制数（  ）,3077,3724,2766,4002,B  ,1
1717,S,十进制数2006等值于十六制数为(    ),7D6 ,6D7 ,3726,6273,A ,1
1718,S,十进制算术表达式：3*512+7*64＋4*8＋5的运算结果，用二进制表示为（ ）,10111100101,11111100101,11110100101,11111101101,B ,1
1719,S,五笔字型汉字输入法的编码属于,音码,形声码,区位码,形码,D,0
1720,S,下列关于ASCII编码的叙述中，正确的是,一个字符的标准ASCII码占一个字节，其最高二进制位总为1,所有大写英文字母的ASCII码值都小于小写英文字母'a'的ASCII码值,所有大写英文字母的ASCII码值都大于小写英文字母'a'的ASCII码值,标准ASCII码表有256个不同的字符编码,B,0
1721,S,下列说法中，正确的是,同一个汉字的输入码的长度随输入方法不同而不同,一个汉字的机内码与它的国标码是相同的，且均为2字节,不同汉字的机内码的长度是不相同的,同一汉字用不同的输入法输入时，其机内码是不相同的,A,0
1722,S,下列叙述中，正确的是,一个字符的标准ASCII码占一个字节的存储量，其最高位二进制总为0,大写英文字母的ASCII码值大于小写英文字母的ASCII码值,同一个英文字母（如字母A）的ASCII码和它在汉字系统下的全角内码是相同的,标准ASCII码表的每一个ASCII码都能在屏幕上显示成一个相应的字符,A,0
1723,S,显示或打印汉字时，系统使用的是汉字的,机内码,字形码,输入码,国标交换码,B,0
1724,S,"已知汉字""家""的区位码是2850，则其国标码是",4870D,3C52H,9CB2H,A8D0H,B,1
1725,S,已知英文字母m的ASCII码值为109，那么英文字母j的ASCII码值是,106,105,104,103,A,0
1726,S,已知字符A的ASCII码是01000001B，字符D的ASCII码是,01000011B,01000100B,01000010B,01000111B,B,1
1727,S,以下二进制数的值与十进制数23.456 的值最接近的是（  ）,10111.0101,11011.1111,11011.0111,10111.0111,D ,1
1728,S,"英文字母""A""的10进制ASCII值为65，则英文字母""Q""的16进制ASCII值为",51,81,73,94,A,1
1729,S,与二进制数101.01011等值的十六进制数为(    ),A.B          ,5.51,A.51            ,5.58,D ,1
1730,S,与十进制数 1770.625 对应的八进制数是（    ）,3352.5,3350.5,3352.1161,3350.1151,A,1
1731,S,与十进制数28.5625相等的四进制数是（    ）,123.21,131.22,130.22,130.21,D,1
1732,S,运算式(2008)10－(3723)8的结果是(     )。 ,(-1715)10,(5)10,(-5)16,(111)2,B,1
1733,S,运算式(2047)10-(3FF)16+(2000)8的结果是(    ),(2048)10,(2049)10,(3746)8,(1AF7)16,A ,1
1734,S,在19+33=52等式中，每个数可能的进制是（    ）,十进制、十六进制、八进制  ,十六进制、十进制、八进制,十六进制、八进制、十进制  ,十进制、八进制、十六进制,C ,1
1735,S,在标准ASCII码表中，已知英文字母A的十进制码值是65，英文字母a的十进制码值是,95,96,97,91,C,0
1736,S,在标准ASCII码表中，已知英文字母K的十进制码值是75，英文字母k的十进制码值是,107,101,105,106,A,0
1737,S,在标准ASCII码表中，英文字母a和A的码值之差的十进制值是,20,32,-20,-32,B,0
1738,S,在下列字符中，其ASCII码值最大的一个是,8,9,a,b,D,0
1739,S,在下列字符中，其ASCII码值最小的一个是,9,p,Z,a,A,0
1740,S,根据汉字国标码GB2312-80的规定，将汉字分为常用汉字（一级）和非常用汉字（二级）两级汉字。二级汉字按(     )排列。,偏旁部首笔画多少,汉语拼音字母,每个字的笔划多少,使用频率多少,A,1
1741,S,十进制数153转换成二进制数是(    )。,10110,10100101,10000110,10011001,D,0
1742,S,十进制数49.875转换成八进制数是(    )。,7.61,16.7,160.7,61.7,D,1
1743,S,十进制数58.75转换成十六进制数是(    )。,A3.C,3A.C,3A.12,C.3A,B,1
1744,S,八进制数35.54转换成十进制数是(    )。,29.1275,29.2815,29.0625,29.6875,D,1
1745,S,二进制数10011010.1011转换成八进制数是(    )。,232.54,232.13,232.51,232.52,A,1
1746,S,二进制数10111转换成十进制数是(    )。,53,32,23,46,C,0
1747,S,二进制数1111100转换成十进制数是(    )。,124,6.5,6.625,6.125,A,0
1748,S,将二进制数10000001转换成十进制数应该是(    )。,129,127,126,128,A,0
1749,S,十进制小数0.625转换成十六进制小数是(    )。,0.A              ,0.1,0.01,0.625,A,0
1750,S,十进制小数0.6875转换成八进制小数是(    )。,0.045,0.054,0.54,0.45,C,0
1751,S,十进制小数0.6875转换成二进制小数是(    )。,0.1101,0.0111,0.1011,0.11,C,0
1752,S,十六进制数10AC转换成二进制数是(    )。,101110101110,1010010101001,1000010101100,1011010101100 ,C,0
1753,S,十六进制数1A8F转换成十进制数是(    )。,7652,6787,7672,6799,D,0
1754,S,十六进制数FF.1转换成十进制数是(    )。,255.625,250.1625,255.0625,250.0625,C,1
1755,S,下列数据中，有可能是八进制数的是(    )。,488,317,597,189,B,0
1756,S,下面几个不同进制的数中，最小的数是(    )。,二进制数1011100,十进制数35    ,八进制数47    ,十六进制数2E,B,1
1757,S,下面几个不同进制的数中，最小的数是(    )。,二进制数1001001,十进制数75,八进制数37,十六进制数A7,C,1
1758,S,有一个数值152，它与十六进制数6A相等，那么该数值是(    )。,十进制数,二进制数,四进制数,八进制数,D,1
1759,S,与十进制数56等值的二进制数是(    )。,111000,111001,101111,110110,A,0
1760,S,与十进制数93等值的二进制数是(    )。,1101011,1111001,1011100,1011101,D,0
1761,S,在计算机内部，一切信息的存取、处理和传送都是以(    )形式进行的。,EBCDIC码        ,ASCII码        ,十六进制       ,二进制,D,0
1762,S,在下列无符号十进制数中，能用8位二进制数表示的是(    )。,255,256,317,289,A,0
1763,W,从介质访问控制方法的角度，局域网可分为两类，即共享局域网与（ ）,交换局域网,高速局域网,ATM网,虚拟局域网,A,0
1764,W,当你要从FTP服务器上下载免费软件时，你是用( )帐号登录并下载文件的。,匿名,专用,任意,没有,A,0
1765,W,当用户向ISP申请Internet账户时，用户的E-mail账户应包括：（ ）。,UserName,MailBox,Password,UserName、Password,D,0
1766,W,调制解调器(Modem)的功能是实现 ( ) 。,数字信号的编码,数字信号的整形,模拟信号的放大,模拟信号与数字信号的转换,D,0
1767,W,对于下列说法，哪一种是错误的？（ ）,TCP协议可以提供可靠的数据流传输服务,TCP协议可以提供面向连接的数据流传输服务,TCP协议可以提供全双工的数据流传输服务,TCP协议可以提供面向非连接的数据流传输服务,D,0
1768,W,个人计算机申请了账号并采用PPP拨号方式，接人Internet网后，该机( ) 。,可以有多个IP地址,拥有固定的IP地址,拥有独立的IP地址,没有自己的IP地址,C,0
1769,W,个人用户上网需要有计算机、电话线、用户帐号和口令，以及( )。,调制解调器,录象机,投影仪,交换机,A,0
1770,W,关于IP提供的服务，下列哪种说法是正确的？（ ）,IP提供不可靠的数据投递服务，因此数据报投递不能受到保障,IP提供不可靠的数据投递服务，因此它可以随意丢弃报文,IP提供可靠的数据投递服务，因此数据报投递可以受到保障,IP提供可靠的数据投递服务，因此它不能随意丢弃报文,A,0
1771,W,关于防火墙的功能，以下哪一种描述是错误的？（ ）,防火墙可以检查进出内部网的通信量,防火墙可以使用应用网关技术在应用层上建立协议过滤和转发功能,防火墙可以使用过滤技术在网络层对数据包进行选择,防火墙可以阻止来自内部的威胁和攻击,D,0
1772,W,关于计算机网络，以下说法哪个正确(  ) 。,网络就是计算机的集合。,网络可提供远程用户共享网络资源，但可靠性很差。,网络是通信、计算机和微电子技术相结合的产物。,当今世界规模最大的网络是因特网。,D,0
1773,W,关于因特网中主机的IP地址，叙述不正确的是,IP地址是由用户自己决定的,每台主机至少有一个IP地址,主机的IP地址必须是全国唯一的,一个主机可以属于两个或者多个逻辑网络,A,0
1774,W,互联网的主要硬件设备中有中继器、网桥、网关和( ) 。,集线器,网卡,网络适配器,路由器,D,0
1775,W,"计算机的数据传输具有""突发性""的特点，通信子网中的负荷极不稳定，随之可能带来通信子网的暂时与局部的（ ）。",进程同步错误现象,路由错误现象,会话错误现象,拥塞现象,D,0
1776,W,计算机网络的基本分类主要有两种：一种是根据网络所使用的传输技术：另一种是根据（ ）。 ,网络协议,网络的拓扑结构,覆盖范围与规模,网络服务器的操作系统类型,C,0
1777,W,计算机网络的主要功能是( ) 。,计算机之间的互相制约 ,数据通信和资源共享,提高系统可靠性 ,将负荷均匀地分配给网上备计算机系统,B,0
1778,W,计算机网络中，分层和协议的集合称为计算机网络的( ) 。,组成结构,参考模型,体系结构,基本功能,C,0
1779,W,计算机网络最基本的功能是(  ) 。,降低成本    ,打印文件  ,资源共享    ,文件调用,C,0
1780,W,计算机系统安全不包括 ( ) 。,保密性和完整性,可用性和可靠性,抗抵赖性,确定性,D,0
1781,W,简单网络管理协议(SNMP)是（ ）协议集中的一部分，用于来监视和检修网络运行情况。,IPX/SPX,TCP,UDP,TCP/IP,D,0
1782,W,建立一个计算机网络需要网络硬件设备和(  ) 。,体系结构  ,资源子网 ,网络操作系统 ,传输介质,C,0
1783,W,交换式局域网的核心是（ ）,路由器,服务器,局域网交换机,带宽,C,0
1784,W,局域网不提供（ ）服务。,资源共享,设备共享,多媒体通信,分布式计算,D,0
1785,W,局域网常用的基本拓扑结构有(  ) 、环型和星型。,层次型,总线型,交换型   ,分组型,B,0
1786,W,局域网的协议结构（ ）。,包括物理层、数据链路层和网络层,包括物理层、LLC子层和MAC子层,只有LLC子层和MAC子层,只有物理层,A,0
1787,W,具有异种网互联能力的网络设备是 (  ) 。 ,路由器,网关,网桥,桥路器,A,0
1788,W,联网计算机在相互通信时必须遵循统一的（ ）。,软件规范,网络协议,路由算法,安全规范,B,0
1789,W,令牌环(Token Ring)的访问方法和物理技术规范由(  )描述。,IEEE802．2 ,IEEE802．3   ,IEEE802．4  ,IEEE802．5,D,0
1790,W,美国国防部安全标准定义了4个安全级别，其中最高安全级提供了最全面的安全支持，它是（ ）。,A级,B级,C级,D级,A,0
1791,W,目前最成功和覆盖面最大、信息资源最丰富的全球性电脑信息网络当属Internet，它被认为是未来（　）的雏形。,广域网,信息高速公路,全球网,信息网,B,0
1792,W,如果IP地址为202.130.191.33，子网掩码为255.255.255.0，那么网络地址是什么？（ ）,202.130.0.0,202.0.0.0,202.130.191.33,202.130.191.0,D,0
1793,W,如果没有特殊声明，匿名FTP服务登录帐号为( )。,user,anonymous,guest,用户自己的电子邮件地址,B,0
1794,W,如果用户希望在网上聊天，可以使用Internet提供的以下哪种服务形式？（ ）,新闻组服务,电子公告版服务,电子邮件服务,文件传输服务,B,0
1795,W,使用拨号上网，首先要选择合适的（ ），这是实现拨号上网的重要步骤。,IP地址,浏览器,ISP,通信协议,C,0
1796,W,所谓互联网，指的是( ) 。,同种类型的网络及其产品相互连接起来,同种或异种类型的网络及其产品相互连接起来,大型主机与远程终端相互连接起来,若干台大型主机相互连接起为,B,0
1797,W,通过电话线路在计算机之间建立的临时通信连接叫做( )。,拨号连接,专线连接,直接连接,间接连接,A,0
1798,W,网络协议主要要素为(  )。,数据格式、编码、信号电平,数据格式、控制信息、速度匹配,语法、语义、同步,编码、控制信息、同步,C,0
1799,W,网桥是在（ ）上实现不同网络的互连设备。,数据链路层,网络层,对话层,物理层,A,0
1800,W,下列哪个属于无连接的服务(  ),物理层电路交换,数据链路层PPP   ,网络层IP ,传输层TCP,C,0
1801,W,下列四项中，合法的电子邮件地址是( ) 。,wang--em．hxing．com．cn,em．hxing．com．cn-wang,em．hxing．com．cn@wang,wang@em．hxing．com．cn．,D,0
1802,W,下列网络中属于局域网的是（ ）。,Internet,CERNET,Novell,CHINANET,C,0
1803,W,下面不是网络层的功能的是（ ）。,路由选择,流量控制,建立连接,分组和重组,C,0
1804,W,下面的四个IP地址，属于D类地址的是（ ）。 ,10．10．5．168,168．10．0．1,224．0．0．2,202．119．130．80 ,C,0
1805,W,下面关于局域网交换机的论述中哪种说法是不正确的？,低传输延迟,高传输带宽,可以根据用户级别设置访问权限,允许不同传输速率的网卡共存于同一个网络,C,0
1806,W,下面哪一个是有效的IP地址（　）？,202.280.130.45,130.192.290.45,192.202.130.45,280.192.33.45,C,0
1807,W,以太网是目前普遍采用的一种局域网类型，其中，高速以太网上的数据传输速率为( ) 。,10Mbps,100Mbps,15Mbps,1000Mbp8,B,0
1808,W,以下哪个URL的表示是错误的？（ ）,http://netlab.abc.edu.cn,ftp://netlab.abc.edu.cn,gopher://netlab.abc.edu.cn,unix://netlab.abc.edu.cn,D,0
1809,W,以下哪个命令用于测试网络连通（ ）。,telnet,nslookup   ,ping,ftp,C,0
1810,W,"以下哪象不是UDP协议的特性？（ ）
 ",提供可靠服务,提供无连接服务,提供端到端服务,提供全双工服务,A,0
1811,W,有关网络管理员的职责，下列哪种说法是不正确的？,网络管理员应该对网络的总体布局进行规划,网络管理员应该对网络故障进行检修,网络管理员应该对网络设备进行优化配置,网络管理员应该负责为用户编写网络应用程序,D,0
1812,W,有关网络域名系统的描述中，不正确的是( )。,网络域名系统的缩写为DNS,每个域名可以由几个域组成，域与域之间用“.”分开,域名中的最左端的域称为顶级域,CN是常用的顶级域名代码,C,0
1813,W,在Internet域名体系中，域的下面可以划分子域，各级域名用圆点分开，按照( )。,从左到右越来越小的方式分4层排列,从左到右越来越小的方式分多层排列,到左越来越小的方式分4层排列,从右到左越来越小的方式分多层排列,D,0
1814,W,"在Internet中, WWW服务的TCP标准端口号是（ ）。",16,80,33,72,B,0
1815,W,"在ISO/OSI参考模型中,网络层的主要功能是( )。","提供可靠的端...端服务,透明地传送报文",路由选择、拥塞控制与网络互连,在通信实体之间传送以帧为单位的数据,数据格式变换、数据加密与解密、数据压缩与恢复,B,0
1816,W,在计算机网络中，为了使计算机或终端之间能够正确传送信息，必须按照 (  ) 来相互通信。,信息交换方式,网卡  ,传输装置,网络协议,D,0
1817,W,在下列那个网络拓扑结构中，中心结点的故障可能造成全网瘫痪的是（ ）。,星型拓扑结构,环形拓扑结构,树型拓扑结构,网状拓扑结构,A,0
1818,W,"在因特网(internet)中,电子公告板的缩写是（ ）。",ftp,WWW,BBS,E-mai,C,0
1819,W,在因特网电子邮件系统中，电子邮件应用程序（ ）。,发送邮件和接收邮件通常都使用SMTP协议,发送邮件通常使用SMTP协议，而接收邮件通常使用POP3协议,发送邮件通常使用POP3协议，而接收邮件通常使用SMTP协议,发送邮件和接收邮件通常都使用POP3协议,B,0
1820,W,在因特网中，网络层和运输层上信息的传输单位分别是（ ）。,比特流    报文,帧    包（分组）,报文     包（分组）,包（分组） 报文,D,0
1821,W,帧中继技术是在（ ）用简化的方法传送和交换数据的一种技术。,物理层 ,数据链路层   ,网络层,传输层,B,0
1822,W,(  ) 技术可以防止信息收发双方的抵赖。,数据加密     ,访问控制,数字签名,审计,C,1
1823,W,“数字摘要”(也称为“数字指纹”)是指（ ）。,一种基于特定算法的文件，其内容和长度以及文件有关,一种和特定文件相关的数据，由指定文件可以生成这些数据,一种由特定文件得出的不可能由其他文件得出的数据,一种由特定文件得出的或者是文件略做调整后可以得出的数据,C,1
1824,W,ADSL技术主要解决的问题是（ ）。,宽带传输,宽带接入,宽带交换,多媒体综合网络,D,1
1825,W,ATM采用的线路复用方式为 (  )。,频分多路复用   ,同步时分多路复用,异步时分多路复用 ,独占信道,C,1
1826,W,DES算法属于加密技术中的（ ）。,对称加密,不对称加密,不可逆加密,以上都是,A,1
1827,W,HDLC是哪一层的协议?(  ),物理层,数据链路层,网络层,高层,B,1
1828,W,IEEE802.3标准是 (   ),逻辑链路控制 ,CSMA/CD访问方法和物理层规范,令牌总线访问方法和物理层规范,令牌环网访问方法和物理层规范,B,1
1829,W,Internet2初始运行速率可以达到（ ）。,10Mbps,100Mbps,10Gbps,100Gbps,C,1
1830,W,Internet的网络层含有四个重要的协议，分别为(  )。,IP，ICMP，ARP，UDP ,TCP，ICMP，UDP，ARP,IP，ICMP，ARP，RARP,UDP，IP，ICMP，RARP,C,1
